name,id,align,eye,hair,sex,alive,appearances,first appearance,year
charles j. wentworth (earth-616),secret identity,bad characters,white eyes,no hair,male characters,living characters,1.0,sep-61,1961.0
kenneth crichton (earth-616),secret identity,,yellow eyes,brown hair,male characters,deceased characters,14.0,jan-81,1981.0
roberta rhodes (earth-616),public identity,good characters,black eyes,white hair,female characters,living characters,6.0,aug-83,1983.0
cordite (earth-616),secret identity,bad characters,,black hair,male characters,living characters,2.0,jun-95,1995.0
jen baker (earth-616),public identity,neutral characters,blue eyes,blond hair,male characters,living characters,3.0,jun-03,2003.0
shadow lord (earth-616),secret identity,good characters,,black hair,male characters,living characters,2.0,may-81,1981.0
red warrior (earth-616),public identity,good characters,,black hair,male characters,living characters,6.0,jan-51,1951.0
william cox (earth-616),no dual identity,good characters,,black hair,male characters,living characters,1.0,dec-43,1943.0
fin fang foom (clone) (earth-616),,bad characters,yellow eyes,,male characters,deceased characters,2.0,mar-06,2006.0
typhon (earth-616),public identity,bad characters,black eyes,black hair,male characters,living characters,22.0,feb-68,1968.0
willard thomas (earth-616),secret identity,bad characters,,white hair,male characters,living characters,1.0,jun-40,1940.0
anthony stark (doppelganger) (earth-616),secret identity,bad characters,red eyes,no hair,male characters,living characters,7.0,jun-92,1992.0
shannon kane (earth-616),secret identity,,brown eyes,black hair,female characters,living characters,5.0,may-93,1993.0
mary drake (earth-616),secret identity,,blue eyes,blond hair,female characters,living characters,2.0,dec-84,1984.0
scaleface (earth-616),secret identity,neutral characters,brown eyes,blue hair,female characters,deceased characters,7.0,dec-86,1986.0
mort morbid (earth-616),,neutral characters,,black hair,male characters,living characters,1.0,nov-48,1948.0
marsha rosenberg (earth-616),secret identity,good characters,blue eyes,black hair,female characters,living characters,29.0,jul-84,1984.0
ed croesus (earth-616),public identity,bad characters,,bald,male characters,living characters,1.0,jul-76,1976.0
oshtur (earth-616),secret identity,good characters,variable eyes,variable hair,female characters,living characters,8.0,may-64,1964.0
devon lewis (earth-616),public identity,,brown eyes,black hair,male characters,living characters,35.0,jan-96,1996.0
grand vizier (asgard) (earth-616),secret identity,good characters,,white hair,male characters,living characters,99.0,sep-65,1965.0
felix guillermo caridad (earth-616),public identity,bad characters,,black hair,male characters,deceased characters,5.0,dec-89,1989.0
condor (nova foe) (earth-616),secret identity,bad characters,red eyes,bald,male characters,living characters,24.0,oct-76,1976.0
great rosso (earth-616),public identity,bad characters,,white hair,male characters,deceased characters,1.0,jan-44,1944.0
d.c.1. (a.i.m.) (earth-616),secret identity,bad characters,brown eyes,bald,male characters,living characters,2.0,jan-11,2011.0
jerome lenz (earth-616),public identity,bad characters,,brown hair,male characters,living characters,1.0,aug-51,1951.0
nan macklin (earth-616),public identity,good characters,,black hair,female characters,living characters,7.0,mar-51,1951.0
perkins (earth-616),,,,white hair,female characters,living characters,1.0,oct-64,1964.0
elaine grey (earth-616),public identity,good characters,blue eyes,grey hair,female characters,deceased characters,43.0,may-64,1964.0
von klutz (earth-616),public identity,bad characters,,black hair,male characters,living characters,1.0,mar-43,1943.0
orb (zadkiel agent) (earth-616),secret identity,bad characters,blue eyes,no hair,male characters,living characters,29.0,oct-08,2008.0
brokar (earth-616),,,,black hair,male characters,living characters,1.0,feb-77,1977.0
eldred (earth-616),,,,black hair,male characters,living characters,1.0,feb-89,1989.0
abbess horror (earth-616),secret identity,bad characters,,,female characters,deceased characters,2.0,dec-06,2006.0
homebrew (earth-616),secret identity,good characters,,,male characters,living characters,6.0,apr-05,2005.0
angela tortelli (earth-616),secret identity,good characters,blue eyes,black hair,female characters,living characters,5.0,feb-83,1983.0
empathoid (earth-616),public identity,bad characters,red eyes,no hair,,living characters,5.0,may-77,1977.0
ulysses abboud (earth-616),,bad characters,brown eyes,no hair,male characters,deceased characters,3.0,jan-69,1969.0
wylar (earth-616),,bad characters,,,male characters,living characters,1.0,nov-89,1989.0
pavel chenklo (earth-616),public identity,bad characters,,grey hair,male characters,deceased characters,6.0,oct-94,1994.0
shevaun haldane (earth-616),secret identity,good characters,green eyes,auburn hair,female characters,living characters,40.0,jul-92,1992.0
number six (nina) (earth-616),secret identity,good characters,,brown hair,female characters,living characters,3.0,mar-89,1989.0
cornelius van lunt (earth-616),public identity,bad characters,brown eyes,black hair,male characters,deceased characters,24.0,jan-70,1970.0
dakari (earth-616),public identity,good characters,white eyes,,male characters,living characters,2.0,dec-85,1985.0
jose abejaron (earth-616),public identity,good characters,,black hair,male characters,living characters,1.0,aug-40,1940.0
oak (earth-616),secret identity,neutral characters,white eyes,no hair,male characters,living characters,3.0,mar-93,1993.0
spoilsport (earth-616),secret identity,neutral characters,,orange hair,female characters,living characters,3.0,jul-99,1999.0
snowblind (earth-616),,bad characters,,white hair,male characters,living characters,11.0,may-91,1991.0
ben jacobs (earth-616),,bad characters,,brown hair,male characters,living characters,3.0,nov-90,1990.0
red zeppelin (earth-616),,,,black hair,male characters,living characters,4.0,apr-86,1986.0
vargas (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,16.0,jul-01,2001.0
zanti chikane (earth-616),no dual identity,good characters,,black hair,male characters,living characters,17.0,apr-89,1989.0
oruthu (earth-616),,bad characters,,,male characters,living characters,2.0,jul-75,1975.0
maya lopez (earth-616),secret identity,good characters,brown eyes,black hair,female characters,deceased characters,66.0,dec-99,1999.0
starbolt ii (earth-616),secret identity,good characters,,,,living characters,8.0,may-10,2010.0
vincent stevens (earth-616),public identity,neutral characters,blue eyes,black hair,male characters,living characters,13.0,feb-94,1994.0
jack hasley (earth-616),secret identity,bad characters,black eyes,,male characters,deceased characters,1.0,dec-45,1945.0
sarah mumford (earth-616),,good characters,,,female characters,living characters,7.0,mar-79,1979.0
ani-mator (earth-616),secret identity,bad characters,blue eyes,bald,male characters,deceased characters,8.0,jan-88,1988.0
neri (asgardian) (earth-616),,,brown eyes,brown hair,female characters,living characters,2.0,may-63,1963.0
thor (thor odinson),no dual identity,good characters,blue eyes,blond hair,male characters,living characters,2258.0,nov-50,1950.0
miguel (masked raider) (earth-616),,bad characters,,black hair,male characters,living characters,1.0,dec-39,1939.0
bellos (earth-616),secret identity,bad characters,,black hair,male characters,deceased characters,1.0,jul-90,1990.0
theodore scott (earth-616),,bad characters,,,male characters,living characters,7.0,sep-06,2006.0
roberta (earth-616),public identity,good characters,blue eyes,blond hair,female characters,living characters,23.0,feb-82,1982.0
aleytys forrester (earth-616),public identity,good characters,,blond hair,female characters,living characters,30.0,mar-81,1981.0
candace southern (earth-616),no dual identity,good characters,blue eyes,black hair,female characters,deceased characters,62.0,apr-67,1967.0
mr. payback (earth-616),secret identity,good characters,blue eyes,,male characters,deceased characters,7.0,aug-00,2000.0
kono sanada (earth-616),public identity,bad characters,,black hair,male characters,living characters,4.0,nov-83,1983.0
robert jameson (earth-616),no dual identity,bad characters,,brown hair,male characters,living characters,2.0,mar-95,1995.0
iara dos santos (earth-616),secret identity,good characters,black eyes,brown hair,female characters,living characters,28.0,jan-13,2013.0
vanadium (human) (earth-616),,bad characters,,no hair,,living characters,1.0,oct-79,1979.0
randall pierce (earth-616),,good characters,,blond hair,male characters,living characters,1.0,aug-90,1990.0
eenie-meenie (earth-616),secret identity,good characters,,grey hair,male characters,living characters,1.0,may-43,1943.0
vic duval (earth-616),public identity,bad characters,,black hair,male characters,living characters,1.0,may-42,1942.0
kristina anderson (earth-616),secret identity,bad characters,pink eyes,pink hair,female characters,living characters,7.0,feb-90,1990.0
ellis love (earth-616),secret identity,good characters,,black hair,female characters,living characters,7.0,aug-10,2010.0
watchfire (earth-616),secret identity,bad characters,,,male characters,living characters,2.0,oct-99,1999.0
krakoa (earth-616),secret identity,neutral characters,,no hair,,living characters,18.0,may-75,1975.0
bludgeon (ransome sole) (earth-616),secret identity,bad characters,red eyes,,male characters,deceased characters,6.0,aug-00,2000.0
cinglet (earth-616),,,red eyes,,,living characters,2.0,dec-05,2005.0
abraham beame (earth-616),no dual identity,neutral characters,brown eyes,white hair,male characters,living characters,2.0,aug-76,1976.0
saburo yoshida (earth-616),public identity,good characters,,,male characters,deceased characters,2.0,jan-70,1970.0
carlton sanders (earth-616),secret identity,bad characters,,brown hair,male characters,living characters,6.0,feb-84,1984.0
t (earth-616),secret identity,bad characters,,black hair,female characters,living characters,3.0,feb-01,2001.0
mark cadmon (earth-616),secret identity,good characters,,red hair,male characters,living characters,12.0,oct-80,1980.0
samuel holden (earth-616),no dual identity,good characters,,black hair,male characters,living characters,13.0,dec-76,1976.0
buck cashman (earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,living characters,18.0,jan-88,1988.0
masque (morlock) (earth-616),secret identity,,red eyes,bald,male characters,living characters,52.0,may-83,1983.0
executioner (crazy gang) (earth-616),,bad characters,,,male characters,living characters,13.0,apr-84,1984.0
zefra (earth-616),secret identity,good characters,,black hair,female characters,living characters,9.0,jun-94,1994.0
siena blaze (earth-616),public identity,bad characters,brown eyes,blond hair,female characters,deceased characters,29.0,jan-93,1993.0
rex carpenter (earth-616),no dual identity,,,black hair,male characters,living characters,9.0,dec-72,1972.0
roger cooper (earth-616),public identity,good characters,,black hair,male characters,living characters,27.0,oct-76,1976.0
sheila mason (earth-616),public identity,good characters,,black hair,female characters,living characters,1.0,nov-40,1940.0
jacob nash (earth-616),,,brown eyes,black hair,male characters,living characters,6.0,jun-02,2002.0
joanna cargill (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,121.0,may-86,1986.0
fugue (tektos) (earth-616),secret identity,bad characters,,,female characters,living characters,2.0,nov-93,1993.0
mariah ellenthorpe (earth-616),,bad characters,,,female characters,living characters,2.0,feb-99,1999.0
amanda chaney (earth-616),no dual identity,good characters,blue eyes,blond hair,female characters,deceased characters,13.0,oct-94,1994.0
malik tarcel (earth-616),secret identity,good characters,,black hair,male characters,living characters,8.0,dec-08,2008.0
aloysius vault (earth-616),,bad characters,,black hair,male characters,living characters,4.0,dec-73,1973.0
rick davis (earth-616),public identity,good characters,,brown hair,male characters,living characters,4.0,nov-54,1954.0
bill dawson (earth-616),no dual identity,good characters,,red hair,male characters,living characters,5.0,sep-08,2008.0
thoth-amon (earth-616),public identity,bad characters,,,male characters,living characters,14.0,jul-71,1971.0
duane wilson (earth-616),public identity,good characters,,brown hair,male characters,deceased characters,1.0,feb-70,1970.0
william kimpton (earth-616),secret identity,good characters,green eyes,bald,male characters,deceased characters,8.0,apr-99,1999.0
joshua utler (earth-616),no dual identity,neutral characters,blue eyes,white hair,male characters,deceased characters,5.0,,
beldame (earth-616),secret identity,bad characters,,purple hair,female characters,deceased characters,3.0,aug-00,2000.0
benjamin loufitz (earth-616),no dual identity,bad characters,,brown hair,male characters,deceased characters,1.0,mar-45,1945.0
kenjiro fujikawa (earth-616),no dual identity,,,white hair,male characters,living characters,2.0,may-98,1998.0
anthony davis (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,16.0,sep-77,1977.0
stan finley (earth-616),no dual identity,,brown eyes,brown hair,male characters,living characters,2.0,apr-05,2005.0
goth (earth-616),secret identity,bad characters,black eyes,black hair,male characters,deceased characters,2.0,sep-00,2000.0
john dolan (earth-616),public identity,neutral characters,blue eyes,blond hair,male characters,living characters,1.0,may-49,1949.0
en sabah nur (earth-616),public identity,bad characters,red eyes,black hair,male characters,deceased characters,160.0,jun-86,1986.0
marcus andrews (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,5.0,mar-99,1999.0
gordon savinski (earth-616),public identity,bad characters,,black hair,male characters,living characters,3.0,aug-96,1996.0
gris gris (earth-616),secret identity,neutral characters,brown eyes,black hair,male characters,living characters,7.0,jan-95,1995.0
tomas delgado (earth-616),no dual identity,good characters,,red hair,male characters,living characters,5.0,dec-92,1992.0
madeline watson (earth-616),,,,blond hair,female characters,deceased characters,8.0,dec-84,1984.0
sidrat-al-muntah (earth-616),secret identity,good characters,,bald,male characters,living characters,5.0,sep-94,1994.0
arno (earth-616),no dual identity,bad characters,,black hair,male characters,living characters,2.0,dec-76,1976.0
brigitte lahti (earth-616),,bad characters,,blond hair,female characters,deceased characters,1.0,may-90,1990.0
drew daniels (earth-616),secret identity,good characters,blue eyes,red hair,male characters,living characters,33.0,dec-76,1976.0
filene abdol (earth-616),public identity,neutral characters,blue eyes,black hair,female characters,deceased characters,1.0,oct-85,1985.0
xorak (earth-616),secret identity,,white eyes,,male characters,deceased characters,3.0,jun-67,1967.0
arturo falcone (earth-616),no dual identity,neutral characters,,black hair,male characters,living characters,2.0,aug-04,2004.0
shialmar (earth-616),,bad characters,brown eyes,black hair,female characters,deceased characters,4.0,oct-80,1980.0
kingmaker (earth-616),secret identity,bad characters,blue eyes,bald,male characters,deceased characters,2.0,sep-09,2009.0
kthara (earth-616),secret identity,bad characters,red eyes,no hair,female characters,living characters,3.0,oct-75,1975.0
max (cameraman) (earth-616),,,,,male characters,living characters,1.0,aug-68,1968.0
liberty girl (beverly) (earth-616),secret identity,good characters,,blond hair,female characters,deceased characters,3.0,nov-00,2000.0
juan meroz (earth-616),,,brown eyes,black hair,male characters,deceased characters,8.0,oct-66,1966.0
abrams (earth-616),no dual identity,,,blond hair,male characters,living characters,1.0,may-88,1988.0
ted larkin (earth-616),secret identity,bad characters,,brown hair,male characters,living characters,1.0,oct-88,1988.0
arsenic (element) (earth-616),,bad characters,,no hair,,living characters,2.0,sep-97,1997.0
aaidan blomfield (earth-616),secret identity,bad characters,,blond hair,male characters,living characters,2.0,jul-96,1996.0
lord ogre (earth-616),secret identity,bad characters,,bald,male characters,deceased characters,4.0,,
bellam (earth-616),secret identity,good characters,red eyes,black hair,male characters,living characters,10.0,apr-94,1994.0
desmond charne (earth-616),public identity,bad characters,blue eyes,,male characters,living characters,22.0,may-76,1976.0
attuma (earth-616),no dual identity,bad characters,brown eyes,black hair,male characters,living characters,94.0,dec-64,1964.0
nils styger (earth-616),secret identity,good characters,blue eyes,black hair,male characters,living characters,20.0,feb-97,1997.0
eagle (tough kid squad) (earth-616),public identity,good characters,,red hair,male characters,living characters,1.0,mar-42,1942.0
abner jonas (earth-616),,bad characters,blue eyes,brown hair,male characters,living characters,6.0,oct-65,1965.0
mary macpherran (earth-616),secret identity,bad characters,blue eyes,strawberry blond hair,female characters,living characters,108.0,jul-84,1984.0
pink lady (earth-616),secret identity,,red eyes,pink hair,female characters,living characters,4.0,,
hubie edge (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,2.0,jan-06,2006.0
eric karlin (earth-616),public identity,bad characters,,brown hair,male characters,deceased characters,1.0,jan-42,1942.0
josephine pulaski (earth-616),public identity,bad characters,brown eyes,brown hair,female characters,living characters,8.0,jan-96,1996.0
grand vizier (polemachus) (earth-616),,good characters,brown eyes,bald,male characters,living characters,9.0,apr-70,1970.0
fireflyte (earth-616),public identity,good characters,magenta eyes,magenta hair,female characters,living characters,21.0,sep-81,1981.0
murderous lion (earth-616),,neutral characters,,,male characters,living characters,5.0,oct-09,2009.0
tithe collector (earth-616),,bad characters,,,male characters,living characters,7.0,dec-93,1993.0
agent of hell (earth-616),secret identity,bad characters,,no hair,male characters,living characters,1.0,jun-74,1974.0
packrat pete (earth-616),public identity,good characters,,grey hair,male characters,living characters,6.0,jun-50,1950.0
skornn (earth-616),secret identity,bad characters,blue eyes,no hair,male characters,living characters,6.0,oct-04,2004.0
lubyev (earth-616),secret identity,bad characters,,red hair,female characters,living characters,3.0,jun-02,2002.0
cassie dolan (earth-616),public identity,good characters,,blond hair,female characters,living characters,2.0,apr-97,1997.0
paul jansen (earth-616),public identity,good characters,,,male characters,living characters,9.0,jul-81,1981.0
threadgold (earth-616),,bad characters,,grey hair,male characters,living characters,3.0,feb-95,1995.0
korea katie (earth-616),public identity,bad characters,,black hair,female characters,living characters,3.0,may-53,1953.0
zzzax (earth-616),public identity,bad characters,,no hair,,living characters,32.0,aug-73,1973.0
raymond dawson (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,49.0,sep-40,1940.0
richard palance (earth-616),secret identity,bad characters,blue eyes,black hair,male characters,living characters,7.0,feb-07,2007.0
tryx (earth-616),no dual identity,good characters,,brown hair,male characters,living characters,4.0,dec-73,1973.0
korath-thak (earth-616),public identity,bad characters,blue eyes,bald,male characters,deceased characters,18.0,mar-92,1992.0
gerald stone (earth-616),,bad characters,blue eyes,blond hair,male characters,living characters,9.0,nov-88,1988.0
jared kurtz (earth-616),public identity,bad characters,,blond hair,male characters,deceased characters,6.0,feb-77,1977.0
toru tarakoto (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,4.0,oct-70,1970.0
amazon (s.h.e.) (earth-616),secret identity,good characters,,blond hair,female characters,living characters,3.0,dec-00,2000.0
webwing (earth-616),public identity,neutral characters,black eyes,,,living characters,3.0,may-82,1982.0
pyre (damocles foundation) (earth-616),secret identity,bad characters,,,male characters,living characters,2.0,dec-98,1998.0
hope abbott (earth-616),secret identity,good characters,hazel eyes,brown hair,female characters,living characters,70.0,jun-05,2005.0
falzone (earth-616),public identity,,,brown hair,male characters,deceased characters,2.0,apr-02,2002.0
ginaldo (earth-616),secret identity,bad characters,,black hair,male characters,living characters,2.0,dec-41,1941.0
thomas agar (earth-616),,,,grey hair,male characters,living characters,1.0,nov-79,1979.0
annie richardson (earth-616),no dual identity,neutral characters,,brown hair,female characters,deceased characters,4.0,jul-81,1981.0
jack prentice (earth-616),public identity,bad characters,,,male characters,deceased characters,1.0,dec-45,1945.0
charles anderson (earth-616),public identity,,,,male characters,living characters,4.0,sep-85,1985.0
charles edison (earth-616),secret identity,,,black hair,male characters,living characters,3.0,aug-89,1989.0
cruz bushmaster (earth-616),secret identity,bad characters,,black hair,male characters,deceased characters,2.0,apr-92,1992.0
ledge (earth-616),,good characters,,black hair,male characters,living characters,12.0,sep-77,1977.0
karl lubbings (earth-616),public identity,bad characters,,,male characters,deceased characters,1.0,apr-73,1973.0
commander kornstalk (earth-616),public identity,bad characters,,black hair,male characters,deceased characters,1.0,nov-42,1942.0
marvin hoffman (earth-616),secret identity,bad characters,,black hair,male characters,deceased characters,8.0,jul-01,2001.0
bill gregory (earth-616),no dual identity,neutral characters,,orange hair,male characters,living characters,28.0,nov-50,1950.0
willis gottfried (earth-616),,,blue eyes,blond hair,male characters,living characters,2.0,jul-98,1998.0
that which endures (earth-616),secret identity,neutral characters,,no hair,,living characters,4.0,aug-89,1989.0
nick bruno (earth-616),public identity,bad characters,,black hair,male characters,living characters,1.0,jan-40,1940.0
hodiak (earth-616),,good characters,,,male characters,living characters,9.0,oct-80,1980.0
henry hawk (earth-616),secret identity,bad characters,,,male characters,deceased characters,26.0,oct-65,1965.0
staak (earth-616),,bad characters,,black hair,female characters,living characters,3.0,oct-02,2002.0
priscilla lyons (earth-616),secret identity,,blue eyes,strawberry blond hair,female characters,living characters,21.0,jan-87,1987.0
delmurio (earth-616),public identity,,one eye,orange hair,male characters,deceased characters,7.0,aug-85,1985.0
sofia alvarez (earth-616),public identity,good characters,brown eyes,brown hair,female characters,living characters,2.0,oct-10,2010.0
sylvia blandings (earth-616),public identity,good characters,,,female characters,living characters,1.0,dec-62,1962.0
von batch (earth-616),public identity,bad characters,,black hair,male characters,living characters,1.0,apr-43,1943.0
maurice fortuit (earth-616),secret identity,good characters,,red hair,male characters,deceased characters,2.0,oct-94,1994.0
casper whimpley (earth-616),secret identity,bad characters,,,male characters,living characters,1.0,jan-80,1980.0
elaine mclaughlin (earth-616),secret identity,bad characters,green eyes,red hair,female characters,deceased characters,11.0,jan-70,1970.0
wilhelm lohmer (earth-616),secret identity,,blue eyes,blond hair,male characters,living characters,43.0,jun-75,1975.0
mastermind (computer) (earth-616),secret identity,bad characters,gold eyes,no hair,male characters,living characters,29.0,dec-76,1976.0
strongman (spider-squad) (earth-616),,,,,,living characters,1.0,aug-77,1977.0
lester deeks (earth-616),public identity,bad characters,,black hair,male characters,deceased characters,1.0,feb-40,1940.0
dismember (earth-616),secret identity,bad characters,yellow eyes,no hair,male characters,living characters,3.0,jan-97,1997.0
gracie gamble (earth-616),secret identity,good characters,,grey hair,female characters,living characters,3.0,oct-96,1996.0
conrad mack (earth-616),secret identity,bad characters,red eyes,no hair,male characters,living characters,13.0,jan-92,1992.0
chi-chee (earth-616),public identity,good characters,black eyes,brown hair,male characters,living characters,5.0,oct-99,1999.0
eric brooks (doppelganger) (earth-616),public identity,bad characters,brown eyes,black hair,male characters,living characters,5.0,sep-76,1976.0
sally (barmaid) (earth-616),public identity,,red eyes,black hair,female characters,living characters,2.0,nov-86,1986.0
sentinel 4 (earth-616),secret identity,bad characters,,,,living characters,2.0,dec-65,1965.0
timmy (earth-616),public identity,,,black hair,male characters,living characters,4.0,oct-66,1966.0
time-buoy number 6-c (earth-616),secret identity,neutral characters,,,,living characters,5.0,aug-81,1981.0
harrison thompson (earth-616),public identity,neutral characters,blue eyes,blond hair,male characters,deceased characters,15.0,dec-76,1976.0
emrys killebrew (earth-616),public identity,neutral characters,blue eyes,grey hair,male characters,deceased characters,16.0,aug-94,1994.0
lao-chung (earth-616),public identity,good characters,,white hair,male characters,living characters,1.0,jun-45,1945.0
borgo (earth-616),,neutral characters,,,male characters,deceased characters,2.0,aug-69,1969.0
nokomis (earth-616),public identity,good characters,,black hair,female characters,living characters,2.0,jan-51,1951.0
danton vayla (earth-616),no dual identity,bad characters,,bald,male characters,deceased characters,2.0,oct-74,1974.0
eugene stivak (earth-616),,bad characters,,bald,male characters,living characters,14.0,sep-77,1977.0
weezhil (earth-616),,bad characters,,brown hair,male characters,living characters,3.0,jun-74,1974.0
dawn middlebury (earth-616),,bad characters,,strawberry blond hair,female characters,living characters,2.0,mar-86,1986.0
doctor yesterday (earth-616),secret identity,bad characters,,brown hair,male characters,living characters,5.0,jul-94,1994.0
stretch (earth-616),secret identity,neutral characters,hazel eyes,brown hair,male characters,living characters,9.0,sep-05,2005.0
bradley manning (earth-616),secret identity,bad characters,,brown hair,male characters,deceased characters,1.0,sep-44,1944.0
john skulinowski (earth-616),secret identity,good characters,,,male characters,living characters,2.0,nov-00,2000.0
morgan le fay (earth-616),no dual identity,bad characters,green eyes,purple hair,female characters,living characters,65.0,may-55,1955.0
carbon (human) (earth-616),,bad characters,,,,living characters,2.0,oct-79,1979.0
charlie (earth-616),public identity,,,brown hair,male characters,living characters,1.0,oct-80,1980.0
killer dawson (earth-616),public identity,bad characters,,black hair,male characters,living characters,2.0,dec-42,1942.0
man-beast (earth-616),secret identity,bad characters,red eyes,brown hair,male characters,living characters,62.0,nov-66,1966.0
ridondo (earth-616),public identity,good characters,,blond hair,male characters,living characters,31.0,jun-71,1971.0
oldow (earth-616),secret identity,bad characters,,black hair,male characters,deceased characters,1.0,jan-42,1942.0
mister six (earth-616),secret identity,bad characters,,,male characters,living characters,4.0,oct-73,1973.0
zippermouth (vincent) (earth-616),,bad characters,,,male characters,living characters,5.0,jun-04,2004.0
matthew malloy (earth-616),no dual identity,neutral characters,brown eyes,brown hair,male characters,living characters,2.0,,
tigerman (earth-616),secret identity,good characters,brown eyes,black hair,male characters,living characters,2.0,sep-40,1940.0
zartros (earth-616),,good characters,,brown hair,male characters,living characters,1.0,aug-76,1976.0
bi-beast (earth-616),public identity,bad characters,black eyes,no hair,male characters,deceased characters,8.0,nov-73,1973.0
carrion crow (earth-616),secret identity,bad characters,red eyes,,male characters,deceased characters,2.0,feb-11,2011.0
patricia tilby (earth-616),public identity,good characters,blue eyes,black hair,female characters,living characters,93.0,aug-86,1986.0
nikita khrushchev (earth-616),public identity,bad characters,,bald,male characters,deceased characters,14.0,sep-62,1962.0
aurora poule (earth-616),no dual identity,,,black hair,female characters,living characters,2.0,dec-92,1992.0
capricorn (android) (earth-616),secret identity,bad characters,,,male characters,living characters,1.0,oct-86,1986.0
mroht (earth-616),secret identity,good characters,,no hair,male characters,living characters,10.0,aug-96,1996.0
jacques laval (earth-616),secret identity,bad characters,,black hair,male characters,living characters,1.0,feb-42,1942.0
zahgurim (earth-616),,bad characters,white eyes,no hair,,living characters,2.0,mar-94,1994.0
brokk (dwarf) (earth-616),public identity,good characters,brown eyes,bald,male characters,living characters,3.0,nov-83,1983.0
lorna dane (earth-616),secret identity,good characters,green eyes,green hair,female characters,living characters,433.0,oct-68,1968.0
emmael (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,5.0,oct-07,2007.0
dragonwing (earth-616),secret identity,bad characters,,blond hair,male characters,living characters,2.0,jul-99,1999.0
adolphus (earth-616),secret identity,,,,male characters,living characters,5.0,jul-04,2004.0
morgan le fay (robot) (earth-616),,bad characters,,,female characters,living characters,2.0,mar-76,1976.0
robert hagon (earth-616),public identity,,,black hair,male characters,living characters,4.0,mar-93,1993.0
garth (other realm) (earth-616),no dual identity,good characters,,blond hair,male characters,living characters,4.0,jul-75,1975.0
slug gundy (earth-616),public identity,bad characters,,black hair,male characters,deceased characters,1.0,jun-42,1942.0
carl von brummel (earth-616),public identity,bad characters,,bald,male characters,deceased characters,1.0,jun-44,1944.0
ignacio alvarez (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,2.0,oct-10,2010.0
donald callahan (earth-616),secret identity,bad characters,white eyes,no hair,male characters,living characters,23.0,apr-00,2000.0
irina clayton (earth-616),secret identity,good characters,blue eyes,brown hair,female characters,living characters,5.0,dec-01,2001.0
leoninus (earth-616),secret identity,bad characters,,blond hair,male characters,living characters,3.0,oct-80,1980.0
sablat (earth-616),public identity,good characters,,black hair,male characters,living characters,4.0,dec-93,1993.0
burt horowitz (earth-616),secret identity,,,bald,male characters,deceased characters,12.0,jul-88,1988.0
xirdal (earth-616),public identity,bad characters,yellow eyes,no hair,female characters,deceased characters,2.0,jan-11,2011.0
sirocco (earth-616),secret identity,,,,male characters,living characters,3.0,aug-91,1991.0
pamela dean (earth-616),public identity,good characters,,black hair,female characters,living characters,1.0,jun-80,1980.0
tanak valt (earth-616),public identity,,blue eyes,black hair,male characters,living characters,8.0,mar-79,1979.0
killshot (earth-616),secret identity,bad characters,,red hair,male characters,living characters,2.0,feb-04,2004.0
tod sultan (earth-616),public identity,bad characters,,red hair,male characters,deceased characters,1.0,aug-49,1949.0
katherine waynesboro (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,25.0,sep-83,1983.0
solaise (earth-616),public identity,,blue eyes,blond hair,female characters,living characters,8.0,oct-86,1986.0
ernest scope (earth-616),no dual identity,neutral characters,,black hair,male characters,living characters,4.0,apr-01,2001.0
huang zhu (earth-616),secret identity,bad characters,,black hair,male characters,living characters,2.0,oct-93,1993.0
shantal wilsk (earth-616),public identity,good characters,,black hair,female characters,living characters,15.0,oct-97,1997.0
dagny forrester (earth-616),secret identity,bad characters,green eyes,brown hair,female characters,living characters,3.0,may-91,1991.0
rita wayword (earth-616),secret identity,neutral characters,white eyes,silver hair,female characters,living characters,108.0,sep-85,1985.0
henry camp (earth-616),public identity,bad characters,brown eyes,black hair,male characters,deceased characters,119.0,nov-74,1974.0
krakos (earth-616),public identity,bad characters,blue eyes,bald,male characters,living characters,5.0,aug-07,2007.0
bludgeon (ucwf) (earth-616),secret identity,bad characters,,bald,male characters,living characters,4.0,apr-87,1987.0
juan dos rios (earth-616),public identity,good characters,,black hair,male characters,living characters,1.0,jan-54,1954.0
purple hayes (earth-616),secret identity,good characters,blue eyes,brown hair,female characters,living characters,9.0,sep-90,1990.0
hakon (earth-616),no dual identity,bad characters,,brown hair,male characters,living characters,1.0,dec-84,1984.0
drexel cord (earth-616),no dual identity,neutral characters,,grey hair,male characters,deceased characters,2.0,jun-68,1968.0
jinku (earth-616),secret identity,bad characters,,,male characters,living characters,9.0,may-64,1964.0
karima shapandar (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,62.0,jun-00,2000.0
