name,id,align,eye,hair,sex,alive,appearances,timeline
stan finley (earth-616),no dual identity,not-available,brown eyes,brown hair,male characters,living characters,2.0,2005-04-01
goth (earth-616),secret identity,bad characters,black eyes,black hair,male characters,deceased characters,2.0,2000-09-01
john dolan (earth-616),public identity,neutral characters,blue eyes,blond hair,male characters,living characters,1.0,1949-05-01
en sabah nur (earth-616),public identity,bad characters,red eyes,black hair,male characters,deceased characters,160.0,1986-06-01
marcus andrews (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,5.0,1999-03-01
gordon savinski (earth-616),public identity,bad characters,not-available,black hair,male characters,living characters,3.0,1996-08-01
gris gris (earth-616),secret identity,neutral characters,brown eyes,black hair,male characters,living characters,7.0,1995-01-01
tomas delgado (earth-616),no dual identity,good characters,not-available,red hair,male characters,living characters,5.0,1992-12-01
madeline watson (earth-616),not-available,not-available,not-available,blond hair,female characters,deceased characters,8.0,1984-12-01
sidrat-al-muntah (earth-616),secret identity,good characters,not-available,bald,male characters,living characters,5.0,1994-09-01
arno (earth-616),no dual identity,bad characters,not-available,black hair,male characters,living characters,2.0,1976-12-01
brigitte lahti (earth-616),not-available,bad characters,not-available,blond hair,female characters,deceased characters,1.0,1990-05-01
drew daniels (earth-616),secret identity,good characters,blue eyes,red hair,male characters,living characters,33.0,1976-12-01
filene abdol (earth-616),public identity,neutral characters,blue eyes,black hair,female characters,deceased characters,1.0,1985-10-01
xorak (earth-616),secret identity,not-available,white eyes,not-available,male characters,deceased characters,3.0,1967-06-01
arturo falcone (earth-616),no dual identity,neutral characters,not-available,black hair,male characters,living characters,2.0,2004-08-01
shialmar (earth-616),not-available,bad characters,brown eyes,black hair,female characters,deceased characters,4.0,1980-10-01
kingmaker (earth-616),secret identity,bad characters,blue eyes,bald,male characters,deceased characters,2.0,2009-09-01
kthara (earth-616),secret identity,bad characters,red eyes,no hair,female characters,living characters,3.0,1975-10-01
max (cameraman) (earth-616),not-available,not-available,not-available,not-available,male characters,living characters,1.0,1968-08-01
liberty girl (beverly) (earth-616),secret identity,good characters,not-available,blond hair,female characters,deceased characters,3.0,2000-11-01
juan meroz (earth-616),not-available,not-available,brown eyes,black hair,male characters,deceased characters,8.0,1966-10-01
abrams (earth-616),no dual identity,not-available,not-available,blond hair,male characters,living characters,1.0,1988-05-01
ted larkin (earth-616),secret identity,bad characters,not-available,brown hair,male characters,living characters,1.0,1988-10-01
arsenic (element) (earth-616),not-available,bad characters,not-available,no hair,not-available,living characters,2.0,1997-09-01
aaidan blomfield (earth-616),secret identity,bad characters,not-available,blond hair,male characters,living characters,2.0,1996-07-01
lord ogre (earth-616),secret identity,bad characters,not-available,bald,male characters,deceased characters,4.0,not-available
bellam (earth-616),secret identity,good characters,red eyes,black hair,male characters,living characters,10.0,1994-04-01
desmond charne (earth-616),public identity,bad characters,blue eyes,not-available,male characters,living characters,22.0,1976-05-01
attuma (earth-616),no dual identity,bad characters,brown eyes,black hair,male characters,living characters,94.0,1964-12-01
nils styger (earth-616),secret identity,good characters,blue eyes,black hair,male characters,living characters,20.0,1997-02-01
eagle (tough kid squad) (earth-616),public identity,good characters,not-available,red hair,male characters,living characters,1.0,1942-03-01
abner jonas (earth-616),not-available,bad characters,blue eyes,brown hair,male characters,living characters,6.0,1965-10-01
mary macpherran (earth-616),secret identity,bad characters,blue eyes,strawberry blond hair,female characters,living characters,108.0,1984-07-01
pink lady (earth-616),secret identity,not-available,red eyes,pink hair,female characters,living characters,4.0,not-available
hubie edge (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,2.0,2006-01-01
eric karlin (earth-616),public identity,bad characters,not-available,brown hair,male characters,deceased characters,1.0,1942-01-01
josephine pulaski (earth-616),public identity,bad characters,brown eyes,brown hair,female characters,living characters,8.0,1996-01-01
grand vizier (polemachus) (earth-616),not-available,good characters,brown eyes,bald,male characters,living characters,9.0,1970-04-01
fireflyte (earth-616),public identity,good characters,magenta eyes,magenta hair,female characters,living characters,21.0,1981-09-01
murderous lion (earth-616),not-available,neutral characters,not-available,not-available,male characters,living characters,5.0,2009-10-01
tithe collector (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,7.0,1993-12-01
agent of hell (earth-616),secret identity,bad characters,not-available,no hair,male characters,living characters,1.0,1974-06-01
packrat pete (earth-616),public identity,good characters,not-available,grey hair,male characters,living characters,6.0,1950-06-01
skornn (earth-616),secret identity,bad characters,blue eyes,no hair,male characters,living characters,6.0,2004-10-01
lubyev (earth-616),secret identity,bad characters,not-available,red hair,female characters,living characters,3.0,2002-06-01
cassie dolan (earth-616),public identity,good characters,not-available,blond hair,female characters,living characters,2.0,1997-04-01
paul jansen (earth-616),public identity,good characters,not-available,not-available,male characters,living characters,9.0,1981-07-01
threadgold (earth-616),not-available,bad characters,not-available,grey hair,male characters,living characters,3.0,1995-02-01
korea katie (earth-616),public identity,bad characters,not-available,black hair,female characters,living characters,3.0,1953-05-01
zzzax (earth-616),public identity,bad characters,not-available,no hair,not-available,living characters,32.0,1973-08-01
raymond dawson (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,49.0,1940-09-01
richard palance (earth-616),secret identity,bad characters,blue eyes,black hair,male characters,living characters,7.0,2007-02-01
tryx (earth-616),no dual identity,good characters,not-available,brown hair,male characters,living characters,4.0,1973-12-01
korath-thak (earth-616),public identity,bad characters,blue eyes,bald,male characters,deceased characters,18.0,1992-03-01
gerald stone (earth-616),not-available,bad characters,blue eyes,blond hair,male characters,living characters,9.0,1988-11-01
jared kurtz (earth-616),public identity,bad characters,not-available,blond hair,male characters,deceased characters,6.0,1977-02-01
toru tarakoto (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,4.0,1970-10-01
amazon (s.h.e.) (earth-616),secret identity,good characters,not-available,blond hair,female characters,living characters,3.0,2000-12-01
webwing (earth-616),public identity,neutral characters,black eyes,not-available,not-available,living characters,3.0,1982-05-01
pyre (damocles foundation) (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,2.0,1998-12-01
hope abbott (earth-616),secret identity,good characters,hazel eyes,brown hair,female characters,living characters,70.0,2005-06-01
falzone (earth-616),public identity,not-available,not-available,brown hair,male characters,deceased characters,2.0,2002-04-01
ginaldo (earth-616),secret identity,bad characters,not-available,black hair,male characters,living characters,2.0,1941-12-01
thomas agar (earth-616),not-available,not-available,not-available,grey hair,male characters,living characters,1.0,1979-11-01
annie richardson (earth-616),no dual identity,neutral characters,not-available,brown hair,female characters,deceased characters,4.0,1981-07-01
jack prentice (earth-616),public identity,bad characters,not-available,not-available,male characters,deceased characters,1.0,1945-12-01
charles anderson (earth-616),public identity,not-available,not-available,not-available,male characters,living characters,4.0,1985-09-01
charles edison (earth-616),secret identity,not-available,not-available,black hair,male characters,living characters,3.0,1989-08-01
cruz bushmaster (earth-616),secret identity,bad characters,not-available,black hair,male characters,deceased characters,2.0,1992-04-01
ledge (earth-616),not-available,good characters,not-available,black hair,male characters,living characters,12.0,1977-09-01
karl lubbings (earth-616),public identity,bad characters,not-available,not-available,male characters,deceased characters,1.0,1973-04-01
commander kornstalk (earth-616),public identity,bad characters,not-available,black hair,male characters,deceased characters,1.0,1942-11-01
marvin hoffman (earth-616),secret identity,bad characters,not-available,black hair,male characters,deceased characters,8.0,2001-07-01
bill gregory (earth-616),no dual identity,neutral characters,not-available,orange hair,male characters,living characters,28.0,1950-11-01
willis gottfried (earth-616),not-available,not-available,blue eyes,blond hair,male characters,living characters,2.0,1998-07-01
that which endures (earth-616),secret identity,neutral characters,not-available,no hair,not-available,living characters,4.0,1989-08-01
nick bruno (earth-616),public identity,bad characters,not-available,black hair,male characters,living characters,1.0,1940-01-01
hodiak (earth-616),not-available,good characters,not-available,not-available,male characters,living characters,9.0,1980-10-01
henry hawk (earth-616),secret identity,bad characters,not-available,not-available,male characters,deceased characters,26.0,1965-10-01
staak (earth-616),not-available,bad characters,not-available,black hair,female characters,living characters,3.0,2002-10-01
priscilla lyons (earth-616),secret identity,not-available,blue eyes,strawberry blond hair,female characters,living characters,21.0,1987-01-01
delmurio (earth-616),public identity,not-available,one eye,orange hair,male characters,deceased characters,7.0,1985-08-01
sofia alvarez (earth-616),public identity,good characters,brown eyes,brown hair,female characters,living characters,2.0,2010-10-01
sylvia blandings (earth-616),public identity,good characters,not-available,not-available,female characters,living characters,1.0,1962-12-01
von batch (earth-616),public identity,bad characters,not-available,black hair,male characters,living characters,1.0,1943-04-01
maurice fortuit (earth-616),secret identity,good characters,not-available,red hair,male characters,deceased characters,2.0,1994-10-01
casper whimpley (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,1.0,1980-01-01
elaine mclaughlin (earth-616),secret identity,bad characters,green eyes,red hair,female characters,deceased characters,11.0,1970-01-01
wilhelm lohmer (earth-616),secret identity,not-available,blue eyes,blond hair,male characters,living characters,43.0,1975-06-01
mastermind (computer) (earth-616),secret identity,bad characters,gold eyes,no hair,male characters,living characters,29.0,1976-12-01
strongman (spider-squad) (earth-616),not-available,not-available,not-available,not-available,not-available,living characters,1.0,1977-08-01
lester deeks (earth-616),public identity,bad characters,not-available,black hair,male characters,deceased characters,1.0,1940-02-01
dismember (earth-616),secret identity,bad characters,yellow eyes,no hair,male characters,living characters,3.0,1997-01-01
gracie gamble (earth-616),secret identity,good characters,not-available,grey hair,female characters,living characters,3.0,1996-10-01
conrad mack (earth-616),secret identity,bad characters,red eyes,no hair,male characters,living characters,13.0,1992-01-01
chi-chee (earth-616),public identity,good characters,black eyes,brown hair,male characters,living characters,5.0,1999-10-01
eric brooks (doppelganger) (earth-616),public identity,bad characters,brown eyes,black hair,male characters,living characters,5.0,1976-09-01
sally (barmaid) (earth-616),public identity,not-available,red eyes,black hair,female characters,living characters,2.0,1986-11-01
sentinel 4 (earth-616),secret identity,bad characters,not-available,not-available,not-available,living characters,2.0,1965-12-01
timmy (earth-616),public identity,not-available,not-available,black hair,male characters,living characters,4.0,1966-10-01
time-buoy number 6-c (earth-616),secret identity,neutral characters,not-available,not-available,not-available,living characters,5.0,1981-08-01
harrison thompson (earth-616),public identity,neutral characters,blue eyes,blond hair,male characters,deceased characters,15.0,1976-12-01
emrys killebrew (earth-616),public identity,neutral characters,blue eyes,grey hair,male characters,deceased characters,16.0,1994-08-01
lao-chung (earth-616),public identity,good characters,not-available,white hair,male characters,living characters,1.0,1945-06-01
borgo (earth-616),not-available,neutral characters,not-available,not-available,male characters,deceased characters,2.0,1969-08-01
nokomis (earth-616),public identity,good characters,not-available,black hair,female characters,living characters,2.0,1951-01-01
danton vayla (earth-616),no dual identity,bad characters,not-available,bald,male characters,deceased characters,2.0,1974-10-01
eugene stivak (earth-616),not-available,bad characters,not-available,bald,male characters,living characters,14.0,1977-09-01
weezhil (earth-616),not-available,bad characters,not-available,brown hair,male characters,living characters,3.0,1974-06-01
dawn middlebury (earth-616),not-available,bad characters,not-available,strawberry blond hair,female characters,living characters,2.0,1986-03-01
doctor yesterday (earth-616),secret identity,bad characters,not-available,brown hair,male characters,living characters,5.0,1994-07-01
stretch (earth-616),secret identity,neutral characters,hazel eyes,brown hair,male characters,living characters,9.0,2005-09-01
bradley manning (earth-616),secret identity,bad characters,not-available,brown hair,male characters,deceased characters,1.0,1944-09-01
john skulinowski (earth-616),secret identity,good characters,not-available,not-available,male characters,living characters,2.0,2000-11-01
morgan le fay (earth-616),no dual identity,bad characters,green eyes,purple hair,female characters,living characters,65.0,1955-05-01
carbon (human) (earth-616),not-available,bad characters,not-available,not-available,not-available,living characters,2.0,1979-10-01
charlie (earth-616),public identity,not-available,not-available,brown hair,male characters,living characters,1.0,1980-10-01
killer dawson (earth-616),public identity,bad characters,not-available,black hair,male characters,living characters,2.0,1942-12-01
man-beast (earth-616),secret identity,bad characters,red eyes,brown hair,male characters,living characters,62.0,1966-11-01
ridondo (earth-616),public identity,good characters,not-available,blond hair,male characters,living characters,31.0,1971-06-01
oldow (earth-616),secret identity,bad characters,not-available,black hair,male characters,deceased characters,1.0,1942-01-01
mister six (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,4.0,1973-10-01
zippermouth (vincent) (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,5.0,2004-06-01
matthew malloy (earth-616),no dual identity,neutral characters,brown eyes,brown hair,male characters,living characters,2.0,not-available
tigerman (earth-616),secret identity,good characters,brown eyes,black hair,male characters,living characters,2.0,1940-09-01
zartros (earth-616),not-available,good characters,not-available,brown hair,male characters,living characters,1.0,1976-08-01
bi-beast (earth-616),public identity,bad characters,black eyes,no hair,male characters,deceased characters,8.0,1973-11-01
carrion crow (earth-616),secret identity,bad characters,red eyes,not-available,male characters,deceased characters,2.0,2011-02-01
patricia tilby (earth-616),public identity,good characters,blue eyes,black hair,female characters,living characters,93.0,1986-08-01
nikita khrushchev (earth-616),public identity,bad characters,not-available,bald,male characters,deceased characters,14.0,1962-09-01
aurora poule (earth-616),no dual identity,not-available,not-available,black hair,female characters,living characters,2.0,1992-12-01
capricorn (android) (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,1.0,1986-10-01
mroht (earth-616),secret identity,good characters,not-available,no hair,male characters,living characters,10.0,1996-08-01
jacques laval (earth-616),secret identity,bad characters,not-available,black hair,male characters,living characters,1.0,1942-02-01
zahgurim (earth-616),not-available,bad characters,white eyes,no hair,not-available,living characters,2.0,1994-03-01
brokk (dwarf) (earth-616),public identity,good characters,brown eyes,bald,male characters,living characters,3.0,1983-11-01
lorna dane (earth-616),secret identity,good characters,green eyes,green hair,female characters,living characters,433.0,1968-10-01
emmael (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,5.0,2007-10-01
dragonwing (earth-616),secret identity,bad characters,not-available,blond hair,male characters,living characters,2.0,1999-07-01
adolphus (earth-616),secret identity,not-available,not-available,not-available,male characters,living characters,5.0,2004-07-01
morgan le fay (robot) (earth-616),not-available,bad characters,not-available,not-available,female characters,living characters,2.0,1976-03-01
robert hagon (earth-616),public identity,not-available,not-available,black hair,male characters,living characters,4.0,1993-03-01
garth (other realm) (earth-616),no dual identity,good characters,not-available,blond hair,male characters,living characters,4.0,1975-07-01
slug gundy (earth-616),public identity,bad characters,not-available,black hair,male characters,deceased characters,1.0,1942-06-01
carl von brummel (earth-616),public identity,bad characters,not-available,bald,male characters,deceased characters,1.0,1944-06-01
ignacio alvarez (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,2.0,2010-10-01
donald callahan (earth-616),secret identity,bad characters,white eyes,no hair,male characters,living characters,23.0,2000-04-01
irina clayton (earth-616),secret identity,good characters,blue eyes,brown hair,female characters,living characters,5.0,2001-12-01
leoninus (earth-616),secret identity,bad characters,not-available,blond hair,male characters,living characters,3.0,1980-10-01
sablat (earth-616),public identity,good characters,not-available,black hair,male characters,living characters,4.0,1993-12-01
burt horowitz (earth-616),secret identity,not-available,not-available,bald,male characters,deceased characters,12.0,1988-07-01
xirdal (earth-616),public identity,bad characters,yellow eyes,no hair,female characters,deceased characters,2.0,2011-01-01
sirocco (earth-616),secret identity,not-available,not-available,not-available,male characters,living characters,3.0,1991-08-01
pamela dean (earth-616),public identity,good characters,not-available,black hair,female characters,living characters,1.0,1980-06-01
tanak valt (earth-616),public identity,not-available,blue eyes,black hair,male characters,living characters,8.0,1979-03-01
killshot (earth-616),secret identity,bad characters,not-available,red hair,male characters,living characters,2.0,2004-02-01
tod sultan (earth-616),public identity,bad characters,not-available,red hair,male characters,deceased characters,1.0,1949-08-01
katherine waynesboro (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,25.0,1983-09-01
solaise (earth-616),public identity,not-available,blue eyes,blond hair,female characters,living characters,8.0,1986-10-01
ernest scope (earth-616),no dual identity,neutral characters,not-available,black hair,male characters,living characters,4.0,2001-04-01
huang zhu (earth-616),secret identity,bad characters,not-available,black hair,male characters,living characters,2.0,1993-10-01
shantal wilsk (earth-616),public identity,good characters,not-available,black hair,female characters,living characters,15.0,1997-10-01
dagny forrester (earth-616),secret identity,bad characters,green eyes,brown hair,female characters,living characters,3.0,1991-05-01
rita wayword (earth-616),secret identity,neutral characters,white eyes,silver hair,female characters,living characters,108.0,1985-09-01
henry camp (earth-616),public identity,bad characters,brown eyes,black hair,male characters,deceased characters,119.0,1974-11-01
krakos (earth-616),public identity,bad characters,blue eyes,bald,male characters,living characters,5.0,2007-08-01
bludgeon (ucwf) (earth-616),secret identity,bad characters,not-available,bald,male characters,living characters,4.0,1987-04-01
juan dos rios (earth-616),public identity,good characters,not-available,black hair,male characters,living characters,1.0,1954-01-01
purple hayes (earth-616),secret identity,good characters,blue eyes,brown hair,female characters,living characters,9.0,1990-09-01
hakon (earth-616),no dual identity,bad characters,not-available,brown hair,male characters,living characters,1.0,1984-12-01
drexel cord (earth-616),no dual identity,neutral characters,not-available,grey hair,male characters,deceased characters,2.0,1968-06-01
jinku (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,9.0,1964-05-01
karima shapandar (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,62.0,2000-06-01
stephanie gerard (earth-616),not-available,bad characters,blue eyes,not-available,female characters,deceased characters,7.0,2011-10-01
franz (dermafree) (earth-616),no dual identity,bad characters,not-available,black hair,male characters,deceased characters,3.0,2004-07-01
ray morgan (earth-616),not-available,bad characters,not-available,brown hair,male characters,living characters,7.0,1991-12-01
sewer man (earth-616),secret identity,bad characters,not-available,brown hair,male characters,deceased characters,1.0,1943-06-01
hargood wilbur todd wickham (earth-616),not-available,bad characters,not-available,red hair,male characters,living characters,7.0,1974-02-01
mr. raven (earth-616),secret identity,bad characters,not-available,brown hair,male characters,living characters,8.0,2013-04-01
alphonse laguardia (earth-616),not-available,good characters,not-available,not-available,male characters,living characters,2.0,not-available
george maxon (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,4.0,1941-03-01
grimgerta (earth-616),not-available,good characters,not-available,not-available,female characters,living characters,1.0,1981-09-01
fee-lon (earth-616),public identity,not-available,not-available,brown hair,male characters,living characters,4.0,1977-03-01
pere kauraka (earth-616),public identity,good characters,not-available,not-available,male characters,living characters,1.0,1940-09-01
cosmo (dog) (earth-616),no dual identity,good characters,brown eyes,brown hair,male characters,living characters,39.0,2008-01-01
chuck mcarthur (earth-616),not-available,bad characters,not-available,brown hair,male characters,deceased characters,2.0,1941-10-01
leonard gade (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,living characters,9.0,1940-04-01
inheritor (earth-616),no dual identity,bad characters,black eyes,no hair,male characters,living characters,3.0,1972-03-01
joe cord (earth-616),public identity,not-available,not-available,not-available,male characters,deceased characters,2.0,1974-11-01
sentinel f (earth-616),secret identity,bad characters,not-available,not-available,not-available,deceased characters,1.0,1966-01-01
lawrence zaxton (demon duplicate) (earth-616),secret identity,not-available,blue eyes,black hair,male characters,living characters,1.0,1963-08-01
arnaa (earth-616),secret identity,good characters,blue eyes,white hair,male characters,living characters,1.0,1973-02-01
veritina (earth-616),no dual identity,neutral characters,blue eyes,no hair,female characters,deceased characters,2.0,2013-04-01
sixth light (earth-616),no dual identity,neutral characters,not-available,not-available,male characters,living characters,2.0,2011-07-01
general whedon (earth-616),public identity,neutral characters,hazel eyes,brown hair,male characters,living characters,2.0,2012-05-01
thomas logan (earth-616),no dual identity,bad characters,brown eyes,black hair,male characters,deceased characters,12.0,2001-11-01
flame witch (earth-616),secret identity,bad characters,not-available,red hair,female characters,living characters,1.0,1954-12-01
neil garrett (earth-616),public identity,good characters,brown eyes,brown hair,male characters,living characters,13.0,2003-09-01
billy glow (earth-616),no dual identity,good characters,not-available,white hair,male characters,deceased characters,1.0,1948-08-01
noah van helsing (earth-616),not-available,good characters,not-available,grey hair,male characters,living characters,3.0,2004-12-01
lyan (earth-616),public identity,good characters,green eyes,brown hair,male characters,living characters,9.0,1966-11-01
christopher alleyne (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,2.0,2003-10-01
century (alien) (earth-616),secret identity,good characters,white eyes,white hair,male characters,living characters,41.0,1994-07-01
gouzar (earth-616),no dual identity,bad characters,not-available,not-available,male characters,living characters,5.0,2012-12-01
baron togi (earth-616),secret identity,bad characters,not-available,black hair,male characters,deceased characters,1.0,1943-12-01
mr. borkowski (earth-616),secret identity,good characters,blue eyes,black hair,male characters,living characters,2.0,2004-01-01
hussar (earth-616),secret identity,neutral characters,yellow eyes,blond hair,female characters,living characters,29.0,1980-09-01
peter hunter (earth-616),secret identity,good characters,blue eyes,grey hair,male characters,living characters,42.0,1991-02-01
blasting cap (earth-616),secret identity,not-available,not-available,red hair,male characters,living characters,4.0,1987-08-01
doctor snodgrass (earth-616),public identity,not-available,not-available,not-available,female characters,living characters,3.0,1989-01-01
saripha thames (earth-616),not-available,not-available,not-available,not-available,female characters,living characters,5.0,1976-06-01
zephyrus jones (earth-616),public identity,good characters,green eyes,auburn hair,male characters,living characters,4.0,1940-02-01
green terror (3xs foe) (earth-616),secret identity,bad characters,green eyes,green hair,male characters,living characters,1.0,1940-03-01
doctor strasser (earth-616),public identity,bad characters,not-available,bald,male characters,deceased characters,1.0,1942-04-01
wal-lah (earth-616),no dual identity,neutral characters,not-available,not-available,not-available,living characters,1.0,1939-10-01
tundra (earth-616),public identity,bad characters,not-available,not-available,not-available,living characters,19.0,1983-08-01
anastasia kravinoff (earth-616),secret identity,bad characters,brown eyes,blond hair,female characters,living characters,33.0,2008-09-01
"nicholas fury, jr. (earth-616)",no dual identity,good characters,one eye,bald,male characters,living characters,70.0,2012-01-01
willis hayworth (earth-616),public identity,bad characters,not-available,black hair,male characters,living characters,7.0,1991-12-01
frank yarrow (earth-616),secret identity,good characters,not-available,not-available,male characters,living characters,1.0,1956-12-01
richard yurocko (earth-616),secret identity,bad characters,not-available,blond hair,male characters,deceased characters,4.0,1992-05-01
somnus (earth-616),public identity,not-available,not-available,no hair,not-available,living characters,2.0,2007-04-01
deborah kinney (earth-616),secret identity,neutral characters,green eyes,black hair,female characters,living characters,7.0,2005-03-01
lokar (earth-616),no dual identity,bad characters,not-available,black hair,male characters,living characters,1.0,1964-05-01
turghol (earth-616),public identity,not-available,black eyes,black hair,male characters,living characters,7.0,1973-06-01
marjorie brink (earth-616),public identity,good characters,not-available,brown hair,female characters,living characters,8.0,1990-10-01
allen marc yuric (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,deceased characters,9.0,1991-10-01
julian keller (earth-616),public identity,good characters,blue eyes,black hair,male characters,living characters,179.0,2003-08-01
whiting (earth-616),no dual identity,good characters,not-available,black hair,male characters,living characters,1.0,1946-06-01
brace (masked raider) (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,1.0,1940-01-01
dominic tyrone (earth-616),secret identity,bad characters,blue eyes,black hair,male characters,deceased characters,4.0,1980-08-01
bert tacker (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,2.0,1972-07-01
aleph (garden) (earth-616),no dual identity,neutral characters,yellow eyes,no hair,agender characters,deceased characters,4.0,2013-02-01
nyoirin henecha (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,6.0,1993-03-01
ralph brickman (earth-616),public identity,neutral characters,blue eyes,black hair,male characters,living characters,4.0,1996-11-01
kkallakku (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,7.0,1991-07-01
eric solvang (earth-616),public identity,good characters,not-available,brown hair,male characters,living characters,9.0,2010-11-01
matador (juan) (earth-616),not-available,not-available,brown eyes,black hair,male characters,living characters,3.0,2006-11-01
clifton shallot (earth-616),known to authorities identity,bad characters,blue eyes,black hair,male characters,living characters,7.0,1973-12-01
roglo (earth-616),public identity,bad characters,not-available,black hair,male characters,living characters,1.0,1940-05-01
phil descard (earth-616),secret identity,not-available,not-available,black hair,male characters,living characters,2.0,1985-12-01
fieldstone (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,2.0,1999-10-01
carla ballinger (earth-616),secret identity,not-available,not-available,red hair,female characters,living characters,2.0,1985-12-01
jenny (reporter) (earth-616),no dual identity,neutral characters,blue eyes,black hair,female characters,living characters,2.0,1998-07-01
jessie (sentinel) (earth-616),public identity,good characters,blue eyes,brown hair,female characters,living characters,14.0,2003-06-01
mister negative (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,living characters,54.0,2007-06-01
william walters (earth-982),public identity,not-available,not-available,grey hair,male characters,living characters,4.0,1998-12-01
sidney levine (earth-616),secret identity,not-available,not-available,grey hair,male characters,living characters,25.0,1967-08-01
ivan (frankenstein) (earth-616),not-available,bad characters,black eyes,black hair,male characters,deceased characters,3.0,1974-05-01
zeelmo (earth-616),secret identity,bad characters,not-available,bald,male characters,deceased characters,1.0,1940-08-01
mother (earth-616),secret identity,neutral characters,white eyes,white hair,female characters,living characters,4.0,2002-09-01
doeke riebeeck (earth-616),public identity,bad characters,not-available,not-available,male characters,living characters,3.0,1989-07-01
skunk ape (earth-616),secret identity,neutral characters,yellow eyes,red hair,male characters,living characters,3.0,2012-11-01
proxima midnight (earth-616),no dual identity,bad characters,white eyes,blue hair,female characters,living characters,15.0,not-available
jill stacy (earth-616),public identity,neutral characters,blue eyes,black hair,female characters,living characters,97.0,1997-01-01
michael (genoshan mutate) (earth-616),public identity,not-available,brown eyes,red hair,male characters,living characters,1.0,1990-11-01
silas king (earth-616),secret identity,not-available,blue eyes,not-available,male characters,living characters,15.0,1973-04-01
karl fiers (earth-616),secret identity,bad characters,not-available,brown hair,male characters,deceased characters,1.0,1968-11-01
black dwarf (earth-616),no dual identity,bad characters,yellow eyes,no hair,male characters,deceased characters,8.0,not-available
karl mordo (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,100.0,1963-08-01
peter seyfert (earth-616),public identity,good characters,green eyes,brown hair,male characters,living characters,17.0,2003-06-01
natsumi (earth-616),secret identity,neutral characters,black eyes,black hair,female characters,deceased characters,3.0,2008-08-01
meryet karim (earth-616),secret identity,neutral characters,yellow eyes,black hair,female characters,living characters,19.0,1990-10-01
ben yarby (shotgun city) (earth-616),no dual identity,good characters,not-available,brown hair,male characters,living characters,7.0,1956-09-01
gustav brandt (earth-616),secret identity,neutral characters,not-available,not-available,male characters,living characters,34.0,1970-01-01
beast (demon) (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,31.0,1986-08-01
karima (earth-616),secret identity,neutral characters,black eyes,black hair,female characters,living characters,3.0,1994-12-01
arnie gunderson (earth-616),secret identity,bad characters,not-available,brown hair,male characters,living characters,3.0,1990-04-01
professor schultz (earth-616),public identity,bad characters,not-available,brown hair,male characters,deceased characters,1.0,1943-08-01
maksim golitsyn (earth-616),public identity,good characters,brown eyes,brown hair,male characters,deceased characters,2.0,2002-06-01
trenton craft (earth-616),secret identity,good characters,brown eyes,blond hair,male characters,living characters,6.0,2007-11-01
rigellian grand commissioner (earth-616),public identity,neutral characters,not-available,not-available,male characters,living characters,13.0,1966-09-01
mawu (earth-616),public identity,good characters,not-available,white hair,female characters,living characters,1.0,1990-05-01
jericho drumm (earth-616),public identity,good characters,brown eyes,brown hair,male characters,deceased characters,96.0,1973-09-01
franz kraus (earth-616),secret identity,bad characters,not-available,brown hair,male characters,living characters,2.0,1988-06-01
marge brock (earth-616),not-available,good characters,not-available,not-available,female characters,living characters,2.0,1988-09-01
malekith (earth-616),no dual identity,bad characters,blue eyes,blond hair,male characters,living characters,45.0,1984-06-01
malachi (angel) (earth-616),secret identity,bad characters,not-available,black hair,male characters,living characters,5.0,2005-11-01
cack clugg (earth-616),public identity,bad characters,not-available,not-available,male characters,living characters,2.0,1962-02-01
gertrude yorkes (earth-616),secret identity,good characters,green eyes,black hair,female characters,deceased characters,46.0,2003-07-01
deadshot darrance (earth-616),secret identity,bad characters,not-available,white hair,male characters,living characters,2.0,1983-11-01
